CLICKABILITY TESTS  Id,BCS CLICKABILITY Click Package Id,CLICK PACKAGES Shares,CLICK PACKAGES Clicks
564636771d0488002100038c,5646367d1d0488001b000360,0,1
5627b7d5de896b001a00016c,56291c5b2580920033000086,0,1
56280cbf1d51270032000004,56280cbf1d51270032000005,0,1
560d607d3336380019cf0300,560d6153386131000d820300,0,1
5645031b25654500290000db,5646388b133b2a0033000015,0,1
564685200f6db0001800000a,564685200f6db00018000011,0,1
5625125c533f590030000167,56265da92dd3e900240000e8,0,1
56422cac88ba7f001b0001d0,56422caf360a1500240001fc,0,1
562a9333f98305002a00006d,562a946d24d99d0018000085,0,1
56437826171e300030000228,56437826171e300030000229,0,1
5657bf330baebe0018000000,5657bf8354fafd0027000002,0,1
5654946cf84e51002d000040,5654c5f01b96ef00300000e8,0,1
562670210529a40024000176,562670280529a4002400017a,0,1
564cff53bbb653003000000e,564cff55703ea2002a0002ca,0,1
56461c1bde1096002d00028a,56461c461d0488002a000265,0,1
56462a24de1096002a0002c1,56462a29de1096002d00031c,0,1
5633dfc2e8994a002100004d,56340d157cc32d003000002b,0,1
563d04e5001beb0021000457,563d04e888876100320003c9,0,1
561ecc2ac11f5500240002ce,561ecc2e9fa9c10021000294,0,1
564cff53bbb653003000000e,564d0209703ea200180002c6,0,1
561d57d66c67d40033000083,561d57d94253e60027000069,0,1
56280fa11d5127002d000008,56280fa11d5127002d000009,0,1
564bb2d8857588001b00012f,564bb30d8575880024000157,0,1
5652c24a3965e00021000041,5652c5363965e00027000056,0,1
564621051d0488002f00026b,564a137d617ef000180000eb,0,1
5657bf330baebe0018000000,5657bf700baebe001b000000,0,1
564e2cc75d050a001e0001aa,564f9724437ff000330003e2,0,1
5655d227cb3ed000300000b6,5655fe1a7750dd0027000358,0,1
5654e54294e850001800006b,5654e54294e8500018000070,0,1
5646062ade1096001b000182,56461159de109600210001da,0,1
5644daa42565450027000036,5644dd8a1ed25b001b00002e,0,1
561e6c509fa9c1002d00007e,561fff8c0ed319003200014e,0,1
5654bd381b96ef001e000099,5655c679cb3ed0002700007d,0,1
56200d4d0ed319002a0001ef,56200e07800e570030000191,0,1
56293109c990fb002d0000fb,56293169258092001e0000e7,0,1
56562c1dcb3ed0001e0004c2,56562c25cb3ed0002a0004ae,0,1
564cd8dbdc68bb002c000295,564cd8dcdc68bb002c000298,0,1
564b9d5885758800210000b1,564ba1ff56b15a00300000f5,0,1
563d04e5001beb0021000457,563d04e5001beb0021000458,0,1
562924e825809200210000c3,56292529c990fb00210000b5,0,1
56462a24de1096002a0002c1,56462a3ede109600230002b9,0,1
56167bbf6fd2b9002a00007c,5616a312c43288002700000b,0,1
