NUGGETS ID,CLICK PACKAGES Shares,CLICK PACKAGES Clicks
56437ccc35095a0021000262,2,357
5648ca8ec45b8c002300000b,3,353
5627d9a0de896b001a000215,5,351
5649f16981e65b002400007b,0,351
561bc1cc16d6890030000075,3,349
56312cc53c3b0700200002bb,31,347
562dafce7f5d75001e00002e,4,346
563ac6e299835f001b000069,17,345
562699602dd3e9002d00029c,4,337
564a26ba617ef00030000137,1,336
5655c334cb3ed0003000004e,10,335
5600527b3564390025f10000,0,332
563109bf3c3b07002d000235,15,331
56129c2f5a2dac001f000130,3,331
561bee40baf18a002400004b,11,330
565140a0cc6d8f0027000007,7,327
561e7c239fa9c10023000118,5,324
562e70cc0c39f10024000177,3,324
5628f1ce9902960024000024,1,318
564a9dc46b1b80003300009f,3,317
560bf4903532660025190100,10,317
5613c812088a04002b000002,0,317
560eb4ff3605d300190001e3,3,312
5637a18c73d8a3003300001e,14,310
564c76242de5a600330000f9,1,308
563a527ffbfc43002c000187,2,305
564b53b46b1b8000210001a1,4,303
562110aa9efda2002700015e,7,302
564f740d437ff0001e000398,1,301
56449dd2cdc347002700002d,1,299
5611abd5a611e2001f00000a,2,298
560e86123605d3001c00007a,18,295
56299ab4258092001e0001ec,1,293
56253d01f3f01f002d000204,3,293
54bb1f753964640025030000,4,293
564f86f0437ff0002d0003ab,0,292
564dfef65d050a00180000ca,7,292
562026df2c52bb002a00001e,1,285
5638cd015d2a7f001e000216,26,279
5617ec9398f11e001b0001ba,11,278
5642c93b35095a00210000be,1,278
562fcd6e1191e1002d000000,4,278
561d483f6c67d40018000037,13,278
5625380ff3f01f00300001ec,4,275
5621653fd4f6cc0026000051,5,273
561d5ce04253e600330000ab,11,271
5628fcdff0f75800270000aa,3,271
560e983cb2b9710019000112,10,270
564cfee3bbb6530030000002,1,269
5642023c88ba7f0024000131,13,268
561e96c09fa9c100300001c3,3,268
564b54df020476001e000178,14,267
564e3664e4b5c90030000028,0,266
53472011d14c32ca65000001,5,266
563044fd72e83d0021000010,3,263
561d09a652d055002d00005e,1,262
564c127edc68bb00270000c5,7,261
563a7a1fe7d2170018000009,5,261
563bae2e2a68e3002700000c,3,260
5639119b56afa00027000129,1,256
5630da843c3b07001e00006d,9,256
5640e93bea941c001800000f,4,255
5649eb78617ef0002d00004e,5,254
561d51906c67d4001b000058,37,254
563be4d0001beb00300000be,5,253
562707b1de896b00180000a2,3,253
564e30ce5d050a002c0001ea,12,253
55ccf866316232000d450600,11,252
560e6bbbb2b9710022000070,3,251
5628eefdf0f7580027000026,2,250
5617a7e76530d40018000084,2,250
5612bdb5b5bb9b001d000040,0,249
5628ff35f0f75800330000ae,17,249
562e33cf0c39f1002a000010,2,248
561ffebc0ed3190021000148,2,248
561c41e452d055001e000030,7,247
563cf6a18887610032000375,12,245
56410b21ee35090029000154,6,245
5612e216486514002500011b,9,244
564e24527e42bb001e000188,18,244
563cd7e5001beb001e000257,31,244
562140802c52bb001b000206,10,244
5632a3224369710018000025,10,244
561fb743d1de0e001e000045,9,243
56436afc171e30002d000195,15,243
563669864dbb810024000000,7,243
562f879fb62e780033000010,3,243
547d04d13130320015010000,10,242
5638cfc073d8a30026000209,3,240
562e72e284e4bf001f00017b,5,239
5654ebc8edb4eb002f000088,0,239
562a797d5adc2a002a0000b7,6,239
561bf252baf18a002d00003d,4,238
5616b31beb20af0030000000,18,238
56143f4ef032f2002500002b,6,237
563eb1c847d9fa001e00000e,3,236
561ea1369fa9c100270001f3,8,235
5638d2095d2a7f002a000234,11,233
536c9f685b3374f3d0000017,6,232
5612d6da48651400340000f8,22,231
561eb1f7c11f55001e000267,4,230
562f733854ac73001e00002d,0,229
5644adcf0db0a30033000062,3,229
563272201e603a001b00005c,2,229
5640f6d4ee3509001e00009a,2,228
5640cd7d1f76e0001b0000db,1,228
5628f356f0f758002100003b,7,227
56266d022dd3e9001800019e,6,227
562f9dc41a3da2003000009c,0,226
561803f46530d4001e00025e,4,225
56422e7e360a1500210001cb,15,225
5640ef6eee3509002c000085,6,223
5649dba781e65b0029000028,4,223
5654b2e51b96ef003300003d,6,223
562fb697b62e780018000166,1,222
564b32e96b1b80001e0000e4,2,222
5637895778bbef0024000035,1,222
56460016de1096001b00014b,0,222
560e761bda0598001f00007c,7,221
561b552e16d6890032000042,1,220
56154a403b1fa8001e000056,2,219
561faca8d1de0e001b000035,4,219
5638c5a95d2a7f00330001c1,0,217
562a56a913a590001e000000,14,215
5637a8b95d2a7f0018000044,8,215
564b5f1802047600330001d6,8,215
5643b1c9171e300018000318,6,213
562e6d2b84e4bf001f000165,3,213
5626a46e2dd3e90033000278,0,212
5620a2ad9efda200180000d2,7,212
5627eb175d82660021000015,6,211
55fd917f376536000d320200,1,211
561212474f5024001f000008,5,211
5653e2a869d480003000003e,5,210
564b656d6b1b80001e000249,13,209
5653176042d878002d000055,17,209
5613e3dd8586e100280000a3,6,208
56460c191d048800240001b1,1,208
564a0a5481e65b00210000b9,7,207
565b6b9b9b4aea001b000002,0,207
5613d63c8586e1002400001d,2,206
563cb523001beb001e000153,0,205
562a90e2f98305001f000054,1,204
5625437f533f5900180001fb,2,204
565c63300bf573001800001e,0,204
562d50527f5d75001800000d,3,203
564df1e37e42bb001b000080,2,203
563236fb809c6500270000a3,25,202
564df2e75d050a001b000064,2,202
562692a40529a4002100020c,3,201
56337b7444443400180000f1,13,201
560ec5e1da5e87001f00006d,14,201
562060f42c52bb0033000080,5,199
5612a5301c028c001c0001c5,1,199
564e9997f743a30030000197,1,199
564f3ddcf743a3001b000211,1,197
55de2bed396636001ab70000,6,195
561285da4f50240019000069,2,195
5628277d1d51270021000023,2,195
